date,ticker,crsp_fundno,mtna,mret
1984-06-29,VGENX,31184,0.2,-0.067921
1984-07-31,VGENX,31184,,-0.105381
1984-08-31,VGENX,31184,,0.186717
1984-09-28,VGENX,31184,0.7,0.016895
1984-10-31,VGENX,31184,,-0.041537
1984-11-30,VGENX,31184,,0.010834
1984-12-31,VGENX,31184,0.839,0.001072
1985-01-31,VGENX,31184,,0.050321
1985-02-28,VGENX,31184,,0.043833
1985-03-29,VGENX,31184,,0.021739
1985-04-30,VGENX,31184,,0.019531
1985-05-31,VGENX,31184,,-0.018199
1985-06-28,VGENX,31184,,-0.012683
1985-07-31,VGENX,31184,,0.012846
1985-08-30,VGENX,31184,,0.014634
1985-09-30,VGENX,31184,2.085,-0.024038
1985-10-31,VGENX,31184,,0.061084
1985-11-29,VGENX,31184,,0.017642
1985-12-31,VGENX,31184,2.166,-0.04562
1986-01-31,VGENX,31184,,-0.050669
1986-02-28,VGENX,31184,,-0.015696
1986-03-31,VGENX,31184,3.061,-0.016181
1986-04-30,VGENX,31184,,0.012061
1986-05-30,VGENX,31184,,0.074756
1986-06-30,VGENX,31184,8.495,-0.009073
1986-07-31,VGENX,31184,,-0.081384
1986-08-29,VGENX,31184,,0.148394
1986-09-30,VGENX,31184,14.354,0.005786
1986-10-31,VGENX,31184,,0.036433
1986-11-28,VGENX,31184,,0.018501
1986-12-31,VGENX,31184,22.932,0.015441
1987-01-30,VGENX,31184,,0.110912
1987-02-27,VGENX,31184,,0.004045
1987-03-31,VGENX,31184,41.128,0.129721
1987-04-30,VGENX,31184,,-0.011628
1987-05-29,VGENX,31184,,0.051471
1987-06-30,VGENX,31184,59.124,0.036364
1987-07-31,VGENX,31184,,0.052632
1987-08-31,VGENX,31184,,0.008974
1987-09-30,VGENX,31184,63.334,-0.036849
1987-10-30,VGENX,31184,,-0.23285
1987-11-30,VGENX,31184,,-0.075666
1987-12-31,VGENX,31184,32.049,0.078103
1988-01-29,VGENX,31184,,0.054696
1988-02-29,VGENX,31184,,0.054795
1988-03-31,VGENX,31184,38.523,0.043599
1988-04-29,VGENX,31184,,0.032
1988-05-31,VGENX,31184,,-0.024117
1988-06-30,VGENX,31184,40.757,0.004413
1988-07-29,VGENX,31184,,0.019332
1988-08-31,VGENX,31184,,-0.027586
1988-09-30,VGENX,31184,38.157,-0.015957
1988-10-31,VGENX,31184,,0.027027
1988-11-30,VGENX,31184,,-0.003509
1988-12-30,VGENX,31184,38.658,0.03524
1989-01-31,VGENX,31184,,0.079017
1989-02-28,VGENX,31184,,-0.001627
1989-03-31,VGENX,31184,49.975,0.05216
1989-04-28,VGENX,31184,,0.051123
1989-05-31,VGENX,31184,,0.006632
1989-06-30,VGENX,31184,52.713,0.008053
1989-07-31,VGENX,31184,,0.037037
1989-08-31,VGENX,31184,,0.028011
1989-09-29,VGENX,31184,55.233,0.010899
1989-10-31,VGENX,31184,,-0.023585
1989-11-30,VGENX,31184,,0.044859
1989-12-29,VGENX,31184,72.078,0.079204
1990-01-31,VGENX,31184,,-0.02987
1990-02-28,VGENX,31184,,0.026855
1990-03-30,VGENX,31184,97.033,0.013816
1990-04-30,VGENX,31184,,-0.05451
1990-05-31,VGENX,31184,,0.096774
1990-06-29,VGENX,31184,101.696,-0.021902
1990-07-31,VGENX,31184,,0.065259
1990-08-31,VGENX,31184,,-0.010811
1990-09-28,VGENX,31184,145.625,-0.014572
1990-10-31,VGENX,31184,,-0.057917
1990-11-30,VGENX,31184,,0.017659
1990-12-31,VGENX,31184,119.359,-0.032801
1991-01-31,VGENX,31184,113.476,-0.032514
1991-02-28,VGENX,31184,129.758,0.100213
1991-03-28,VGENX,31184,133.612,-0.011692
1991-04-30,VGENX,31184,140.963,0.018789
1991-05-31,VGENX,31184,144.9,0.010246
