date,vwretd,vwretx,ewretd,ewretx,spindx,sprtrn,RF
1926-07-31,0.040403,0.038168,0.037547,0.03393,12.88,0.045455,0.0022
1926-08-31,0.029822,0.025747,0.018924,0.01638,13.1,0.017081,0.0025
1926-09-30,0.01342,0.009122,0.014037,0.008582,13.4,0.022901,0.0023
1926-10-30,-0.030172,-0.032434,-0.025891,-0.028923,12.98,-0.031343,0.0032
1926-11-30,0.026937,0.019367,0.036507,0.03333,13.27,0.022342,0.0031
1926-12-31,0.026047,0.020321,0.021203,0.014315,13.49,0.016579,0.0028
1927-01-31,-0.00291,-0.005579,-0.003955,-0.007715,13.21,-0.020756,0.0025
1927-02-28,0.045522,0.040566,0.043428,0.040922,13.84,0.047691,0.0026
1927-03-31,0.007324,0.00261,-0.010052,-0.015601,13.93,0.006503,0.003
1927-04-30,0.013021,0.010907,0.0069,0.00389,14.17,0.017229,0.0025
1927-05-31,0.062353,0.057096,0.064407,0.061419,14.91,0.052223,0.003
1927-06-30,-0.02037,-0.025705,-0.02692,-0.032691,14.77,-0.00939,0.0026
1927-07-30,0.08445,0.081687,0.067444,0.063848,15.73,0.064997,0.003
1927-08-31,0.03332,0.028624,0.026115,0.023386,16.43,0.044501,0.0028
1927-09-30,0.053016,0.049095,0.057959,0.052935,17.14,0.043214,0.0021
1927-10-31,-0.046804,-0.04896,-0.045279,-0.047817,16.23,-0.053092,0.0025
1927-11-30,0.070546,0.06427,0.078058,0.075363,17.33,0.067776,0.0021
1927-12-31,0.019295,0.014403,0.0198,0.013906,17.66,0.019042,0.0022
1928-01-31,-0.007182,-0.0092,0.011459,0.008766,17.57,-0.005096,0.0025
1928-02-29,-0.012549,-0.016679,-0.021508,-0.023815,17.26,-0.017644,0.0033
1928-03-31,0.105752,0.101652,0.075281,0.070583,19.13,0.108343,0.0029
1928-04-30,0.034725,0.032715,0.040016,0.037486,19.75,0.03241,0.0022
1928-05-31,0.012325,0.007422,0.015924,0.013734,20,0.012658,0.0032
1928-06-30,-0.03433,-0.038725,-0.048573,-0.054046,19.19,-0.0405,0.0031
1928-07-31,0.010117,0.008278,0.007727,0.005266,19.43,0.012507,0.0032
1928-08-31,0.07023,0.065514,0.067993,0.065022,20.87,0.074112,0.0032
1928-09-29,0.022409,0.019937,0.025717,0.022538,21.37,0.023958,0.0027
1928-10-31,0.013839,0.012055,0.006281,0.00366,21.68,0.014506,0.0041
1928-11-30,0.122975,0.116704,0.129537,0.12654,24.28,0.119926,0.0038
1928-12-31,0.006232,0.002888,0.026322,0.021701,24.35,0.002883,6.00E-04
1929-01-31,0.055473,0.053892,0.073311,0.07108,25.74,0.057084,0.0034
